SO2_ae,SO2_we,NO2_ae,NO2_we,CO_ae,CO_we,O3_we,O3_ae,SO2_Mompean,NO2_Mompean,CO_Mompean,O3_Mompean,Temperatura,Humedad
349,345,249,247,314,394,255,230,4,16,0.2,50,15.7,81.3
349,342,253,247,320,398,255,234,4,10,0.2,60,15.7,81.8
350,338,252,244,324,384,251,234,4,8,0.2,66,15.8,74.4
350,337,252,243,326,380,250,234,4,7,0.1,69,15.9,72.1
350,336,252,243,327,374,249,234,5,7,0.1,71,15.5,69.3
350,336,252,244,327,373,249,234,4,10,0.1,65,14.7,72.5
349,335,253,246,327,377,251,234,3,15,0.1,54,14.0,77.1
349,335,253,246,329,377,249,234,5,10,0.1,58,13.2,78.6
349,335,254,247,329,377,250,234,5,13,0.2,54,12.4,81.7
349,335,254,247,330,378,250,235,5,12,0.2,54,12.5,82.4
349,333,254,246,332,375,249,234,5,14,0.2,53,12.7,78.6
349,334,254,246,332,374,249,235,3,12,0.2,55,12.5,80.2
349,334,253,247,332,377,248,234,2,26,0.2,39,11.4,81.7
349,336,254,247,332,389,248,235,1,12,0.2,43,11.6,83.8
349,337,254,247,332,391,247,235,1,10,0.2,39,11.6,85.3
349,336,254,246,333,387,247,235,1,8,0.2,43,11.7,83.7
349,335,254,246,334,384,249,235,1,9,0.2,55,11.9,83.2
349,334,254,245,335,378,247,235,2,10,0.2,49,12.3,80.1
349,334,254,248,334,389,248,235,1,23,0.2,25,12.2,81.7
349,334,254,248,334,388,248,235,1,25,0.2,25,12.3,80.8
349,333,254,248,335,390,249,234,1,35,0.2,16,12.1,80.0
349,334,255,249,335,396,249,235,2,35,0.2,15,12.5,79.3
350,334,254,247,336,393,249,235,2,27,0.3,33,14.0,75.7
351,335,253,243,337,380,247,234,1,15,0.2,55,16.6,66.1
351,335,252,241,337,372,245,233,1,11,0.2,61,17.2,61.1
351,335,251,242,335,371,246,232,1,13,0.2,58,16.9,61.2
351,335,252,243,334,376,247,233,2,15,0.2,57,16.7,61.9
351,336,252,243,334,376,247,233,2,15,0.2,56,16.6,61.2
351,336,252,244,333,379,248,232,2,13,0.2,57,15.8,64.0
350,336,252,244,333,382,248,233,2,10,0.2,59,14.9,66.9
350,335,252,246,333,385,249,233,2,17,0.2,48,13.9,70.4
350,335,253,247,333,388,250,233,2,19,0.2,44,13.2,73.3
350,335,253,247,334,389,250,234,2,17,0.2,45,12.5,73.9
350,335,254,246,334,388,249,234,2,14,0.2,47,12.7,72.8
350,335,253,248,335,391,248,234,2,24,0.2,31,12.2,74.6
349,335,254,248,334,396,249,234,3,26,0.2,26,12.6,73.8
350,336,254,247,336,394,249,234,3,21,0.2,37,13.7,72.0
350,336,253,244,336,387,246,233,3,8,0.2,51,13.3,71.4
350,337,254,245,334,392,248,234,3,7,0.2,48,12.8,74.6
350,336,254,245,335,391,247,234,3,7,0.2,47,12.8,74.5
350,336,254,245,335,387,247,234,3,8,0.2,43,12.7,73.6
350,336,254,245,335,389,246,234,3,9,0.1,44,13.0,73.8
350,337,253,245,335,389,245,234,3,11,0.2,39,13.0,74.1
350,336,253,246,335,389,246,234,2,13,0.2,36,13.0,72.9
350,336,254,247,335,390,247,234,3,25,0.2,24,13.2,73.4
350,336,253,246,335,395,247,234,3,20,0.2,33,13.8,71.8
349,337,253,248,334,397,250,233,2,19,0.2,33,13.5,83.9
349,337,254,248,334,403,250,234,3,22,0.3,30,13.8,88.2
349,337,254,247,335,403,251,235,4,25,0.3,31,15.2,85.6
350,337,252,244,335,396,247,233,4,15,0.3,45,15.6,80.7
350,337,253,246,334,400,249,233,2,18,0.3,38,14.6,87.4
350,337,253,247,334,401,249,234,3,20,0.3,35,14.5,87.3
350,337,253,246,334,402,248,234,3,19,0.3,33,14.3,87.6
350,336,253,246,334,389,249,234,3,15,0.3,46,14.2,89.2
350,335,253,247,334,395,250,234,3,18,0.3,41,13.8,90.9
350,334,254,246,334,385,248,234,3,16,0.3,46,13.5,91.0
350,335,254,246,334,385,248,234,4,12,0.3,51,13.4,90.7
350,334,254,246,334,385,248,234,3,13,0.3,48,13.4,90.4
350,333,254,248,334,386,249,234,3,30,0.3,28,13.2,90.3
350,334,253,246,334,382,247,234,4,18,0.3,41,12.8,89.6
349,335,254,246,334,381,248,234,4,10,0.3,51,12.9,90.4
349,335,254,245,335,382,248,234,5,6,0.3,59,13.5,89.5
350,335,253,244,335,380,247,234,5,5,0.3,59,13.7,88.5
350,335,253,244,335,381,247,234,5,5,0.3,58,13.6,90.7
349,334,253,245,335,382,248,234,5,5,0.3,56,13.5,91.3
349,335,253,245,335,384,247,234,6,8,0.3,51,13.5,91.4
350,335,253,245,335,383,247,234,5,11,0.3,46,13.1,91.7
349,334,254,246,335,383,248,234,5,12,0.3,48,13.3,91.3
350,335,253,246,336,389,246,234,6,18,0.3,35,13.2,90.9
350,336,253,245,335,388,245,234,6,14,0.3,32,13.0,91.4
349,336,254,246,335,394,247,234,6,13,0.3,38,13.3,91.7
349,336,254,246,335,396,247,234,6,18,0.3,33,13.9,91.7
350,337,253,245,336,398,245,234,5,14,0.3,37,14.5,90.1
350,336,253,244,336,395,246,234,6,13,0.3,47,15.3,86.3
350,336,252,243,336,388,246,233,5,10,0.3,59,16.2,82.6
350,335,252,244,335,383,247,232,5,15,0.3,51,15.1,86.2
350,335,252,244,335,385,246,233,6,19,0.3,47,15.0,82.8
351,335,252,244,335,384,245,233,5,15,0.3,48,14.6,81.0
350,335,252,246,335,390,245,232,5,29,0.3,30,13.0,83.8
350,335,253,249,334,403,248,233,5,33,0.3,21,12.0,88.6
350,336,253,248,335,417,246,233,5,31,0.4,15,11.3,89.2
350,336,254,249,335,413,246,233,6,36,0.4,4,10.3,91.0
350,338,254,249,335,429,245,234,6,35,0.4,1,9.14,93.1
349,339,255,249,334,419,244,234,4,30,0.4,1,8.71,94.7
349,339,255,248,334,412,243,234,1,25,0.3,3,8.69,94.0
349,339,255,247,334,404,242,234,1,14,0.3,5,7.79,94.7
349,338,255,247,334,400,243,235,1,12,0.2,6,7.49,95.6
349,337,255,247,334,391,243,235,1,11,0.2,11,7.32,95.7
349,337,255,247,334,384,243,235,1,10,0.2,12,6.98,95.7
349,336,255,248,334,382,243,235,1,16,0.2,7,6.57,95.7
349,336,255,249,334,389,244,235,2,25,0.2,2,6.32,96.3
348,335,256,251,335,398,247,235,2,32,0.2,2,6.62,96.7
348,335,256,251,335,406,248,235,3,40,0.3,1,6.69,96.6
348,336,257,252,335,407,249,236,3,38,0.3,7,7.81,97.2
348,336,257,251,335,409,250,236,1,38,0.3,11,10.4,95.5
348,336,256,249,335,405,250,236,1,33,0.3,23,12.6,92.1
349,335,255,246,334,394,248,235,1,17,0.2,55,14.3,87.3
350,335,254,245,333,386,247,234,1,17,0.3,54,14.8,86.5
350,336,253,244,332,383,247,234,1,15,0.3,57,15.6,83.8
351,336,252,243,331,377,245,233,1,14,0.3,60,15.8,80.2
350,335,252,243,331,376,246,232,1,13,0.3,62,15.6,79.7
350,335,252,244,330,378,248,233,1,14,0.3,58,14.8,84.8
350,335,252,246,331,386,249,233,1,18,0.3,56,14.7,86.0
350,334,253,246,330,384,249,233,1,19,0.3,56,14.9,86.0
350,336,252,246,331,387,249,233,1,18,0.3,56,14.4,88.0
350,335,253,245,331,379,249,233,1,14,0.3,62,14.4,88.7
350,335,253,245,332,379,249,233,1,12,0.3,62,14.2,90.7
350,336,253,245,331,381,247,233,2,10,0.3,60,14.0,91.2
350,336,253,245,331,378,246,233,3,10,0.2,55,13.5,93.2
349,336,253,246,332,383,247,234,3,12,0.3,49,13.7,95.1
350,337,253,245,333,382,246,234,2,10,0.3,47,13.9,94.7
350,337,253,245,333,382,246,234,2,7,0.3,50,13.9,95.1
350,336,253,246,332,386,246,234,3,17,0.3,36,14.3,94.3
350,336,253,245,334,385,245,233,3,15,0.3,44,14.0,93.9
350,337,253,245,334,388,245,233,2,12,0.3,39,13.8,95.6
350,337,253,247,334,400,245,233,3,29,0.3,13,13.8,95.2
350,342,253,247,334,457,242,233,4,40,0.6,1,12.5,91.6
349,342,255,249,335,459,246,235,8,44,0.6,1,13.1,95.1
349,341,256,248,333,425,246,235,4,29,0.4,15,15.2,94.9
350,342,254,245,333,407,242,234,4,23,0.4,23,17.8,88.3
351,343,252,241,333,395,238,233,4,22,0.3,29,19.4,80.2
352,342,250,239,332,392,238,231,3,19,0.3,39,20.0,74.7
352,341,249,240,329,390,240,231,3,23,0.4,36,18.9,77.6
351,341,250,241,329,388,241,231,3,18,0.4,43,18.5,78.6
351,340,250,242,327,386,243,231,3,20,0.3,39,17.4,81.0
351,339,251,245,327,387,244,232,3,24,0.3,29,16.0,85.7
350,339,252,247,328,398,245,232,3,29,0.4,14,14.6,89.1
350,339,252,248,330,397,246,233,3,31,0.4,14,14.0,93.4
350,341,253,247,330,425,244,233,5,40,0.5,3,13.2,92.2
350,342,254,248,331,429,244,233,6,40,0.5,1,11.9,92.6
